1/8/2015 12:03:59 AM 42012.00277 8111.00 3.80 1164.00 44.58 39.77 101.34 28.74 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:04:00 AM 42012.00279 8111.00 3.80 1162.00 44.50 39.73 101.34 28.61 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:04:01 AM 42012.00280 8111.00 3.04 1167.00 44.50 39.64 101.34 28.63 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:04:03 AM 42012.00281 8111.00 3.80 1167.00 44.32 39.81 101.34 28.74 0.04 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:04:04 AM 42012.00283 8111.00 2.28 1167.00 44.50 39.77 101.34 28.74 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:04:05 AM 42012.00284 8111.00 2.28 1161.00 44.50 39.81 101.34 28.71 0.04 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:04:06 AM 42012.00286 8111.00 3.04 1167.00 44.58 39.73 101.34 28.68 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:04:08 AM 42012.00287 8111.00 3.04 1163.00 44.41 39.73 101.34 28.64 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:04:09 AM 42012.00288 8111.00 3.04 1166.00 44.45 39.64 101.34 28.69 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:04:10 AM 42012.00290 8111.00 3.04 1167.00 44.32 39.81 101.34 28.64 -0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:04:11 AM 42012.00291 8111.00 3.80 1162.00 44.41 39.81 101.34 28.61 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:04:12 AM 42012.00293 8111.00 2.28 1167.00 44.41 39.81 101.34 28.66 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:04:14 AM 42012.00294 8111.00 3.04 1164.00 44.41 39.64 101.34 28.71 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:04:15 AM 42012.00295 8111.00 3.04 1163.00 44.41 39.55 101.34 28.68 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:04:16 AM 42012.00297 8111.00 2.28 1165.00 44.41 39.64 101.34 28.74 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:04:17 AM 42012.00298 8111.00 3.80 1167.00 44.50 39.64 101.34 28.61 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:04:18 AM 42012.00300 8111.00 3.80 1165.00 44.41 39.55 101.34 28.75 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:04:20 AM 42012.00301 8111.00 3.04 1167.00 44.41 39.73 101.34 28.68 0.01 22 TotalConcMeas 1 1 1 1 1 
